评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
1151,8,陈烽,2016-09-13 05:03:06,157,169,12,老师超好
1316,8,陈烽,2015-03-21 23:52:32,110,112,2,老师人超级好 和学生打成一片 幽默可爱  而且很喜欢分享 没有之一的好！
1394,8,陈烽,2015-03-22 01:33:49,60,61,1,亲切幽默的好老师
1893,8,陈烽,2015-03-26 04:15:41,54,56,2,太棒
2080,8,陈烽,2015-04-01 08:42:15,87,90,3,老师人很好 很负责 人也幽默 上了好几次乒乓了就因为这个老师好
3317,8,陈烽,2015-06-01 02:41:40,70,71,1,对学生超级超级好，很亲切！
3920,8,陈烽,2015-09-15 09:46:37,64,67,3,遇到过的最好的体育老师，没有之一
4472,8,陈烽,2015-06-23 10:55:20,49,51,2,人非常好，而且不用担心分数问题
4742,8,陈烽,2015-06-27 05:45:48,151,155,4,没有一个老师像陈烽老师一样爱学生，一样亲切和蔼，在你跑12分钟时会给你鼓励加油。会关心学生的身体健康。强力推荐陈烽老师
4833,8,陈烽,2015-06-29 11:15:10,52,55,3,乒乓球就选陈烽！！人超级好给分棒简直了！！
4998,8,陈烽,2015-07-02 02:39:15,50,52,2,乒乓球课一定要选他啊。12分钟跑很照顾的
6072,8,陈烽,2015-07-10 16:08:55,36,37,1,人超好对我们很和蔼而且不用担心考试啊成绩啊
6178,8,陈烽,2015-07-11 15:52:21,52,53,1,最爱的老师！！有一颗年轻的心真棒！
7349,8,陈烽,2017-12-22 15:42:40,34,34,0,很好的老师，很和蔼，不仅教球还教人生
7384,8,陈烽,2015-09-14 05:59:56,26,27,1,幽默，亲切，非常赞
7821,8,陈烽,2015-09-15 14:08:29,25,29,4,引体向上只用过眼睛，只用过眼睛。。。
8031,8,陈烽,2015-09-16 15:00:02,32,33,1,ZJU遇到过最好的老师 之一
8255,8,陈烽,2015-09-18 01:03:35,17,22,5,好老师 没得说 选了两年他的课
8347,8,陈烽,2015-09-19 00:42:25,27,29,2,老师萌萌哒～
10474,8,陈烽,2015-11-19 04:00:55,13,15,2,炒鸡棒的老师！特别喜欢他的笑容，和学生打成一片，十分细致认真！
10974,8,陈烽,2015-11-23 14:19:56,7,10,3,老师很和蔼，笑眼~~~
11431,8,陈烽,2015-12-01 04:48:54,31,31,0,真的是特别特别好的老师 见过哪个老师记住班里所有同学的名字吗 见过哪个老师关心学生到这种程度吗 最喜欢的老师 没有之一
11960,8,陈烽,2015-12-21 11:44:30,12,13,1,人超好，不只是乒乓球上的帮助。
12009,8,陈烽,2015-12-21 13:27:23,4,8,4,嗯！超级棒，假期给我们推荐去哪里玩，成绩完全不担心
12221,8,陈烽,2015-12-22 11:38:58,9,11,2,遇到过最好的老师！
