评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
43151,27,包爱民,2017-01-16 01:08:36,0,2,2,给分很差
164327,27,包爱民,2022-12-20 09:19:54,1,1,0,包老师非常可爱，回答问题非常耐心。感觉是一个很包容很有激情的老师，赞！
9243,199,李文腾,2015-10-18 12:33:22,8,12,4,屎一样的课。规规矩矩，毫无趣味。而且会拖堂。有一次拖了半个小时。
10678,199,李文腾,2015-11-22 10:17:58,10,18,8,为什么这个系统不能打负分？
10992,199,李文腾,2015-11-23 15:30:19,4,9,5,老师讲的挺好的 至少我会听完三节课不睡觉
11578,199,李文腾,2015-12-06 12:14:31,11,15,4,会拖课，讲的还好，主要是会拖课\n\n(╯>㉨<)╯ ﾐ ┸┸)`νﾟ)
23154,199,李文腾,2016-03-20 10:38:50,-1,2,3,好老师～
25215,199,李文腾,2016-05-08 10:59:54,14,14,0,讲新闻没有个人观点。而且跳的很快。毫无批判性思维，比史纲、思修老师的思想修养低n个档次。
27643,199,李文腾,2016-06-27 06:15:23,3,4,1,其实还可以的，没什么事，一般就偶尔上课写点感想当点名了，给分还不错其实
27649,199,李文腾,2016-06-27 06:44:28,1,5,4,这个老师给分好高啊～感动
27687,199,李文腾,2016-06-27 08:28:06,0,1,1,讲课还行，有的时候会睡着，分数给的一般般
35238,199,李文腾,2016-11-07 04:56:40,1,1,0,水水水
52879,199,李文腾,2017-06-23 09:42:21,1,1,0,人挺好，又水
53179,199,李文腾,2017-06-26 06:40:59,2,2,0,课没听过，绩点一般般，很一般，不是很满意
53180,199,李文腾,2017-06-26 06:51:11,1,4,3,讲得挺水，给分也很不错
53989,199,李文腾,2017-06-28 07:07:52,2,3,1,大概形策的绩点都是这个鬼样子吧TUT
54716,199,李文腾,2017-06-30 05:34:45,2,5,3,老师有点活泼。。。不是跳的那种，就是活泼，现在还是部门的运动会短跑主力，你们自己体会。给分正常，不会像一些班全班形策绩点最高3，好坏自己看努力咯。不过今年卷子是真TM恶心，呸，真TM恶心。老师考前很实诚的讲往年的卷子大概一个小时就交卷了，今年我写了两个小时没写完，我就哔了狗了，哔了狗了！
64134,199,李文腾,2017-12-21 05:06:44,0,2,2,较水，但是挺轻松，老师比较风趣
81650,199,李文腾,2018-07-05 16:38:40,2,2,0,淼淼淼
82789,199,李文腾,2018-07-09 06:44:17,-3,0,3,事情不多，老师很活跃，助教很好，最后极限复习一下思考题期末感觉还可以
82811,199,李文腾,2018-07-09 07:12:01,-4,1,5,上课内容不行，但是给分居然还可以！
82822,199,李文腾,2018-07-09 07:41:30,2,3,1,形策的课大家一般都不会听的吧，所以讲课方面就不作评述了，也没有跟其他老师对比过。考察方面的话，他会有几次小测，就是快下课的时候，也可以百度的。没有论文（有的老师留了寒假论文），点名是抽点了几次，就是只点十个人。给分还是很不错的。期末只复习了两三个小时结果还不错。
82844,199,李文腾,2018-07-09 08:09:20,-33,2,35,第一门满绩的课，感动
82862,199,李文腾,2018-07-09 08:37:38,5,6,1,讲课不怎么样你给分好也行啊，认真复习了一天结果拉我绩点也是醉了……期末答得挺好的，不知道老师和助教判卷是什么谜一样的标准……
110115,199,李文腾,2019-06-23 08:35:13,-12,12,24,来来来，4以上的点赞，4以下的点踩，我看看这老师给分怎么样
112775,199,李文腾,2019-07-05 02:50:46,5,5,0,平均分3.59 大家觉得怎么样？
113688,199,李文腾,2019-07-07 04:00:26,-4,0,4,挺好的领导 关心学生
120105,199,李文腾,2019-11-17 12:34:18,6,6,0,讲个课一拖再拖，九点的快递直接给我拖没了
126751,199,李文腾,2020-10-18 09:43:42,0,1,1,哈哈哈
126981,199,李文腾,2020-11-01 12:26:23,4,4,0,为什么第一节课就拖了半个小时...
129869,199,李文腾,2021-01-13 05:58:28,9,9,0,上课说了一句：这位同学叫什么名字，赏一点小分。然后我就觉得怪怪的
133188,199,李文腾,2021-02-15 06:40:06,-7,0,7,还好吧
136888,199,李文腾,2021-06-27 14:24:04,-5,3,8,喜欢他😍
143787,199,李文腾,2021-12-06 08:55:55,5,5,0,给分低，事还多，还会拖堂。每次上完课都要你写一篇800字的文章，让人想吐
148569,199,李文腾,2022-01-13 01:40:42,3,3,0,事多，水平低
152285,199,李文腾,2022-04-01 08:57:44,3,4,1,拖课，事情多
152427,199,李文腾,2022-04-11 01:54:49,6,7,1,不同于其他老师 他每上一节课就要布置一篇课程论文 我谢谢他 每两周一次的论文频度以及聊自己根本不了解的话题让我学会了如何去更好地搜集资料更好地面对这种毫无头绪的论文 也不后悔选他的课 总归还是学到了点东西的
154190,199,李文腾,2022-05-25 15:31:01,5,6,1,垃圾中的垃圾，事情多，上课还只会阴阳怪气美国
181552,199,李文腾,2023-10-22 12:32:42,4,4,0,不知道自己该上几节课的拖堂的傻杯
193817,199,李文腾,2024-06-19 13:00:14,1,2,1,每节课都雷达点名，上课不能迟到一点，下课永远不能准时\n\n估计是知道自己讲课有多无聊才搞得这一出？\n\n助教也是凶巴巴的，让人感觉像是在监狱里听宣教\n\n早点去教室，不然后排座位抢不到\n\n期末考试被卡绩，爽！！！！\n\n形策就是一坨💩
200116,199,李文腾,2024-10-13 10:57:35,1,1,0,这是真实
200117,199,李文腾,2024-10-13 11:00:10,2,2,0,第一次上课，开始就宣布拖堂25分钟
200130,199,李文腾,2024-10-13 12:51:01,2,2,0,不仅宣布延迟25分钟下课，甚至到了还要继续拖堂🖕
5090,657,邬小撑,2015-07-03 16:02:12,4,11,7,形策就那样吧。。。每节课都有点名或者变相点名，你懂的
30300,657,邬小撑,2016-07-01 08:22:35,5,11,6,一般是助教上课 给分还可以
50858,657,邬小撑,2017-05-07 08:20:27,4,9,5,听了讲座，比较喜欢打官腔
52328,657,邬小撑,2017-06-18 12:56:52,7,12,5,让我有想听行策的感觉！
53405,657,邬小撑,2017-06-26 14:02:46,4,6,2,嗯嗯嗯
54284,657,邬小撑,2017-06-29 03:16:59,18,20,2,还好吧，事少，没交过一次作业，但要按座位坐，变相点名
57478,657,邬小撑,2017-07-08 12:22:20,5,6,1,助教呆呆的
58273,657,邬小撑,2017-08-28 10:22:24,66,95,29,掌声特别激烈 确实是一个好导演
58274,657,邬小撑,2017-08-28 10:23:16,-2,6,8,……呵呵呵
58275,657,邬小撑,2017-08-28 10:23:49,16,32,16,我们都是演员
58276,657,邬小撑,2017-08-28 10:24:24,23,42,19,莫名其妙的掌声，可见魅力极大
58277,657,邬小撑,2017-08-28 10:25:06,14,27,13,给邬导演鼓掌
58278,657,邬小撑,2017-08-28 10:27:24,35,54,19,课上事少，台上话多。讲不够时间就开始当导演…
58279,657,邬小撑,2017-08-28 10:36:22,12,24,12,掌声特别激烈，精彩\n\n
58280,657,邬小撑,2017-08-28 10:38:33,9,16,7,特别能带动气氛，让学生们活跃其中
58281,657,邬小撑,2017-08-28 10:46:13,6,10,4,可以可以很皮
58282,657,邬小撑,2017-08-28 10:47:21,12,21,9,被当部长耽误的导演(ー_ー)!!
58283,657,邬小撑,2017-08-28 10:48:58,17,31,14,¥@#%$&#……就是站在台上的这个人……
58284,657,邬小撑,2017-08-28 14:17:45,6,11,5,好好好
58285,657,邬小撑,2017-08-28 10:49:09,14,23,9,“咬定青山不放松”\n\n? ?  ?
58287,657,邬小撑,2017-08-28 10:49:23,2,5,3,给老师鼓掌
58288,657,邬小撑,2017-08-31 13:25:17,28,34,6,浙大其实还有一个教授叫郑强
58289,657,邬小撑,2017-08-28 10:50:40,0,5,5,掌声激烈，激烈
58290,657,邬小撑,2017-08-28 10:52:42,13,22,9,我们表面上迎合他 其实内心都知道......
58291,657,邬小撑,2017-08-28 10:52:50,0,6,6,是什么让你这么想要装逼！
58292,657,邬小撑,2017-08-28 10:53:11,-3,4,7,那你很棒棒哦
58294,657,邬小撑,2017-08-28 11:03:40,22,36,14,各种黑其他高校
58296,657,邬小撑,2017-08-28 11:04:14,0,3,3,123
58297,657,邬小撑,2017-08-28 10:59:37,-1,3,4,竟敢在我军阵前……
58298,657,邬小撑,2017-08-28 11:01:19,0,3,3,好导演
58299,657,邬小撑,2017-08-28 11:01:24,5,10,5,废话多_(:з」∠)_听不懂\n\n尬鼓掌\n\n出差的车子都要走了 导演
58300,657,邬小撑,2017-08-28 11:01:38,251,277,26,作为学长组的一名成员，我想对新同学说…你们刚刚接触查老师这个公众号，不要把它当做一个吐槽工具，这个公众号主要为的是大家的学习，评论看的是这个老师的教学好不好，上课风格什么样，给分好不好，是不是绩杀。不能因为一个讲座就给他刷那么多吐槽吧，对选上他的课的同学来说，这些高点赞的吐槽反而是一种干扰。大家也看到了，同学们对邬老师上行策课的评价不错，希望大家不要用这种吐槽来让其他同学困扰，希望大家维持这个民间平台的净土。他可能不是一个好的演讲者，但他会是一个好的任课教师。
58301,657,邬小撑,2017-08-28 14:21:03,76,97,21,震惊！七夕之夜，千余名高校学子聚众啪啪啪，竟是为他！\n\n\n\n给你十分别谢我
58302,657,邬小撑,2017-08-28 11:02:15,8,14,6,装逼时刻已至，此处应有雷鸣般的掌声
58303,657,邬小撑,2017-08-28 11:02:18,-1,3,4,吹b\n\n
58304,657,邬小撑,2017-08-28 14:05:12,14,18,4,尤格萨隆 尤格萨隆
58305,657,邬小撑,2017-08-28 11:02:27,0,3,3,我选择鼓掌?
58306,657,邬小撑,2017-08-28 11:02:32,0,4,4,水土不服就服你
58307,657,邬小撑,2017-08-28 11:05:18,0,1,1,壮哉大导演
58308,657,邬小撑,2017-08-28 11:05:37,0,3,3,表面上迎合一下，但实际上
58309,657,邬小撑,2017-08-28 11:06:05,4,6,2,小心哦，他是走过江湖的人
58310,657,邬小撑,2017-08-28 11:06:30,1,3,2,确实是好导演！送上热烈的掌声！
58311,657,邬小撑,2017-08-28 11:06:42,0,1,1,好好好
58313,657,邬小撑,2017-08-28 11:07:06,0,3,3,逼界大神\n\n
58314,657,邬小撑,2017-08-28 11:07:07,0,2,2,我们都是小演员
58315,657,邬小撑,2017-08-28 12:52:41,2,4,2,给我邬爹打call！\n\n
58319,657,邬小撑,2017-08-28 13:18:31,5,8,3,该配合你演出的我在卖力表演
58393,657,邬小撑,2017-08-30 14:41:02,-1,3,4,很皮，很帅，很社会
58619,657,邬小撑,2017-09-10 02:08:53,6,8,2,台上台下两个人，讲话贼烦\n\n
58623,657,邬小撑,2017-09-10 15:49:14,0,2,2,台上这一位，啪啪啪
59515,657,邬小撑,2017-09-22 03:37:45,1,2,1,喵喵喵
60035,657,邬小撑,2017-10-06 15:58:24,-1,2,3,掌声雷动
63399,657,邬小撑,2017-12-03 01:11:16,-1,2,3,讲的还是不错的，哈哈
76568,657,邬小撑,2018-04-15 10:03:14,2,4,2,呵呵，没人做展示就打电话要求人做展示，不尴尬吗
76762,657,邬小撑,2018-04-22 02:33:44,0,6,6,垃圾老师，没有0分所以给了一分\n\n
80757,657,邬小撑,2018-06-30 11:14:47,5,7,2,讲课对于中国有些盲目自信了，顺便实在是太红了，并且对浙江大学的吹捧有点过了，相对事少变相点名。
83768,657,邬小撑,2018-07-11 07:50:05,3,4,1,很讨厌的感觉
84811,657,邬小撑,2018-07-14 02:27:45,1,1,0,垃圾助教
84813,657,邬小撑,2018-07-14 02:30:03,-7,8,15,1分给小撑，0分给助教。随机正太给分，不缺课，当组长，展示被老师表扬，考试认真大题基本都填上了，也分点答题，作文认真写。给了3.9，呵呵呵呵呵呵呵呵呵呵呵。我只是希望付出和收获有回报而已，好好做个人吧。
86042,657,邬小撑,2018-08-29 10:05:55,-1,2,3,喜欢他的讲座
114340,657,邬小撑,2019-07-09 23:08:53,1,3,2,装13 真的很装逼 很喜欢拖堂 让人很无语 课上存在恶意竞争
115003,657,邬小撑,2019-07-14 02:59:05,5,10,5,绩杀，从来没有按点下课过。每次上课必讲“学生不认真听思政课”，自己讲课水平不行，怪我们不认真听。也不想想自己跟别的老师的差距，为什么我们听史纲其乐无穷，听形策就一脸反感。拉我均绩。
115004,657,邬小撑,2019-07-14 03:03:36,2,3,1,无聊，上课变相点名，讲不了什么实在的东西，总是放空炮，盲目自信，绩点给的太低。
115753,657,邬小撑,2019-08-19 12:36:53,3,3,0,垃圾？
115867,657,邬小撑,2019-08-22 11:12:41,-1,0,1,人性化
116278,657,邬小撑,2019-09-07 08:41:03,9,12,3,新生讲话这种都一副领导架子，啰嗦，军训总结大会我们站得累死，边上军官讲话简明扼要，他讲话罗里吧嗦
117203,657,邬小撑,2019-09-20 08:30:31,3,3,0,赶紧鼓掌结束战斗
118413,657,邬小撑,2019-10-27 01:48:44,2,4,2,理论基础不扎实，满口假大空。
118414,657,邬小撑,2019-10-27 01:49:28,3,8,5,今天听预备党员培训，邬书记一个半小时的课，全脱稿讲党课，对理论的学思践悟，他作为党委副书记，我确实感到了敬业和坚定。确实起到党员先锋模范的作用，很酷！
118615,657,邬小撑,2019-10-29 12:03:44,13,14,1,当上副书记了，求仕大成功
119278,657,邬小撑,2019-11-12 02:07:43,0,1,1,还挺好的
121429,657,邬小撑,2019-12-16 07:10:54,1,6,5,我感觉邬老师人很好 讲课很实在 平易近人 是个好老师 也不知道哪里来的这么多小学jjb在这里瞎吐槽
127009,657,邬小撑,2020-11-02 13:41:11,5,7,2,好老师。反映了50米测试不准的问题，邬老师非常重视!!!
136456,657,邬小撑,2021-06-18 06:04:15,5,6,1,之前班团骨干培训 把手机号直接告诉在座的所有同学 就真的认定了这是个好老师
139571,657,邬小撑,2021-07-17 11:21:59,4,4,0,形策课：事少（没有寒假作业），给分正常，讲课不错，会水朵朵
142260,657,邬小撑,2021-11-09 11:23:26,-7,2,9,实乃垃圾
153089,657,邬小撑,2022-04-25 07:51:58,6,6,0,祝贺邬书记升职！
180184,657,邬小撑,2023-09-20 13:16:58,1,1,0,要是想办法把渣导全解决了，我愿称您为伟人
25955,826,朱婉儿,2016-06-14 14:26:10,19,22,3,心理课真的很棒的，老师人也很实在，作业不多，给分不错~
31670,826,朱婉儿,2016-07-04 12:04:02,1,4,3,不错的沟领课呢O(∩_∩)O
36634,826,朱婉儿,2016-11-15 06:40:06,3,5,2,老师上课很有趣~娓娓道来的感觉很棒
47267,826,朱婉儿,2017-01-25 04:31:05,1,2,1,给分还好吧。
56583,826,朱婉儿,2017-07-04 04:21:56,1,3,2,这学期都是李娟老师代课 这应该是j类里面最轻松给分最好的课了 每次上课回答回答问题 最后论文写好点 拿了94
72297,826,朱婉儿,2018-01-30 00:25:05,2,2,0,这门课上课挺轻松的，老师讲课也很认真，最后成绩分两块，40%的小组论文，60%的个人成长报告。这门课应该是挂了好几个人，因为那几个个人成长报告大量抄袭，甚至有两篇一模一样的。其实个人成长报告很好写，写自己过去经历的大概就很容易写到2000字。感谢老师最后刚好让我上四，虽然我平时没有发言过。
