评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
76037,3908,潘健,2018-03-25 10:46:09,-1,3,4,我觉得海星
76765,3908,潘健,2018-04-22 09:49:51,9,9,0,逻辑感人
80311,3908,潘健,2018-06-25 03:43:24,-3,2,5,难受的一批\n\n
80785,3908,潘健,2018-07-01 04:59:03,5,6,1,上课有点无聊，老师还行
83460,3908,潘健,2018-07-10 10:24:01,12,19,7,给分还挺良心，老师水平一般，但对待学生态度还好。表白助教姐姐，人美，给分还好（请问现在有男票了吗）
83499,3908,潘健,2018-07-10 12:30:35,5,6,1,给分好啊！老师和助教都很可爱
83806,3908,潘健,2018-07-11 08:49:20,3,6,3,给分真的超级好！如果该做的都做好了的话…助教小姐姐真的人太好了呀，老师和助教小姐姐都超级可爱的呀！哦对，提醒大家一句，考试之前，记得看一下课本后面的考试参考！
85481,3908,潘健,2018-08-24 23:00:51,0,3,3,助教小姐姐人超好，老师上课有点无聊
85882,3908,潘健,2018-08-25 03:43:59,0,1,1,超级好
85883,3908,潘健,2018-08-25 03:45:30,4,5,1,无敌好，必须满分
96113,3908,潘健,2019-01-20 13:01:53,-4,1,5,我只想知道，形策期末到底怎么考评啊一共就四节课
112025,3908,潘健,2019-07-04 17:58:48,3,5,2,老师还行 助教xjj特别好 不过一次时事报告就平时分加满这种操作有点看不懂
112573,3908,潘健,2019-07-04 18:05:06,0,1,1,深夜出分，虽然卡绩但是比我意料的高，平时无展示无发言没有恶竞式地做作业，所以感觉给分还是可以的……形策考试写作文，期末刷刷题，平时认真完成不用太过纠结，应该就OK啦
112666,3908,潘健,2019-07-04 23:55:23,-2,1,3,给分特别良心，助教小姐姐特别负责
134971,3908,潘健,2021-04-25 12:04:59,10,12,2,神经病，怎么这种生物都能当老师，说男生没有情商面试比不过职业学校，女生没有格局视野整天只知道看韩剧搞打赏搞二次元，请老师管好自己谢谢（ps.助教xjj还是很好的！）
134972,3908,潘健,2021-04-25 12:12:28,14,14,0,搁这儿搞性别歧视呢
139175,3908,潘健,2021-07-13 06:36:18,1,1,0,真就随机数绩点呗😅1分不解释
155400,3908,潘健,2022-06-12 07:29:04,5,5,0,节节课写东西点名，真的无语😓
155409,3908,潘健,2022-06-12 08:52:02,0,0,0,祝我形策考试能多写点字...哎...
156986,3908,潘健,2022-06-21 13:15:02,0,1,1,给分可以的，卡89了
190738,3908,潘健,2024-03-16 16:09:05,3,3,0,行策还编座位表，是不是给你户口本的坟头也要编啊？！
194517,3908,潘健,2024-06-24 08:22:15,0,1,1,很负责的老师，给分不错
