评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
1091,10,罗孟波,2015-03-21 16:08:02,12,16,4,挺好挺负责的
3088,10,罗孟波,2015-05-14 02:08:25,8,13,5,老师好棒
3256,10,罗孟波,2015-05-24 08:12:52,44,49,5,小测比较多，因此平时要经常复习，感觉挺负责人的
3498,10,罗孟波,2015-06-17 00:53:50,63,76,13,不好好听课他会撕逼的23333
3771,10,罗孟波,2015-06-17 03:55:48,5,8,3,非常负责
5132,10,罗孟波,2015-07-04 13:08:24,33,40,7,老师负责又幽默，一定得选！！满绩妥妥的！
5318,10,罗孟波,2015-07-06 14:42:02,3,6,3,棒！
5435,10,罗孟波,2015-07-07 12:21:37,8,11,3,老师很认真负责，认真学成绩一定不会差的
7287,10,罗孟波,2015-09-13 02:41:28,21,25,4,老师认真负责，会建群，有什么不懂的就问，基本能得到老师的及时回复，上课时老师不允许睡觉，挺像高中老师的\n\n
8971,10,罗孟波,2015-10-07 09:55:35,3,6,3,好老师！
21973,10,罗孟波,2016-03-02 03:17:27,3,6,3,啧啧啧
23037,10,罗孟波,2016-03-16 10:41:10,55,59,4,每每听到老师的笑声，就能感受到老师对于物理那种纯真的热爱
23698,10,罗孟波,2016-04-13 01:52:40,34,37,3,非常认真负责的老师，我要顶他得那一百万
23762,10,罗孟波,2016-04-15 03:47:30,18,22,4,见过的最负责任的老师，没有之一。会建群，群里问问题都会很认真的解答。小测验对我这种学渣来说有点难，但是都会很仔细的讲解很棒。
26024,10,罗孟波,2016-06-15 06:25:08,-1,1,2,很好的老师，讲课很有意思，讲课风格也很好
26027,10,罗孟波,2016-06-15 06:38:15,-1,2,3,负责，调理清晰，虽然有点口音
26379,10,罗孟波,2016-06-17 08:53:26,-1,1,2,好老师，可惜没好好学
27371,10,罗孟波,2016-06-25 09:37:45,6,8,2,物理没学好完全是自己的错
27722,10,罗孟波,2016-06-29 15:33:22,6,9,3,很好的老师 讲课很清楚 还会讲很多科学轶闻 \n\n很耐心 很负责  讲话有一点口音 浙江人表示无压力
28383,10,罗孟波,2016-06-28 08:45:56,3,4,1,超级好！！
28892,10,罗孟波,2016-06-29 08:01:20,4,6,2,很有责任心。学不好完全是我自己的锅…
28929,10,罗孟波,2016-06-29 03:42:37,6,11,5,目前遇到的最负责的老师，没有之一，上课很认真负责，有时也很幽默，在群里面认真回答每一个同学提出的问题。没有好好听课我感到很羞愧，对不起大物男神老师，可惜老师不教大物甲二，难过……
29167,10,罗孟波,2016-06-29 10:18:39,-12,10,22,讲课不错，给分真是垃圾\n\n平时分很低，太坑了\n\n千万别选
29261,10,罗孟波,2016-06-29 13:50:10,9,15,6,最后考试分数不高，但是别的老师的话平时分会给高点。总之绩点很低，平时分跟期末成绩成正比。
29298,10,罗孟波,2016-06-29 14:41:48,3,9,6,明明就很按照比例给分啊...说按照期末考试给平时分的人是认真的吗？据说这次两个班36个人满绩，如果只按照期末考满绩的人会更多吧。
29305,10,罗孟波,2016-06-29 14:49:42,6,10,4,非常认真负责的好老师，讲课思路很清晰而且有趣，会建群经常在群里解答问题，给分还超级好。认真学的话满绩不是问题。
29310,10,罗孟波,2016-06-29 14:53:14,0,1,1,老师不错  很认真负责
29332,10,罗孟波,2016-06-29 15:16:36,-4,2,6,老师超好超负责，坚持线上答疑，轻轻松松满绩
29336,10,罗孟波,2016-06-29 15:22:26,2,5,3,真的是非常非常认真负责，平时课下也能及时交流。有机会真想一直选完两门大物。
29337,10,罗孟波,2016-06-29 15:22:37,0,1,1,超级赞的老师 罗男神
29338,10,罗孟波,2016-06-29 15:22:38,0,1,1,罗老师真的很好很负责，给100个赞
29339,10,罗孟波,2016-06-29 15:23:09,0,2,2,超级超级好的老师。上课认真有条理对学生也很负责！！！！
29341,10,罗孟波,2016-06-29 15:23:47,12,16,4,学习是靠自己的，所以成绩和老师没关系。罗老师的态度非常认真负责，真的大学能操这份心来敦促学生的老师基本绝迹了。非常负责任的老师，被人格所折服。
29343,10,罗孟波,2016-06-29 15:24:47,0,1,1,好老师。
29347,10,罗孟波,2016-06-29 15:26:36,16,20,4,男神老师啊，工作很负责，教学也规划得井井有条。上课会阻止你睡觉，玩手机，补作业。小测也很有质量，罗老师的课能学到很多东西，老师也很可爱。（我才不是因为全班有二十个人满绩才给满分呢）
29349,10,罗孟波,2016-06-29 15:30:59,2,6,4,老师男神啊❤❤罗老师可以说是我大学的启蒙老师了，老师对学习工作认真严谨的态度，让上学期堕落的我终于找回学习的快乐。虽然因为马虎没能满绩，还是谢谢老师！大学遇到的最好的老师了！
29351,10,罗孟波,2016-06-29 15:31:42,2,3,1,赞！！！！\n\n
29353,10,罗孟波,2016-06-29 15:35:11,3,5,2,老师非常认真负责。人很好，勤勤恳恳兢兢业业！必须给十分！浙大我见过算很不错的老师了。
29357,10,罗孟波,2016-06-29 15:38:38,2,5,3,罗老师真男神！大学第一门满绩的课，老师上课讲的真是好，而且还会在qq群里面答疑各种的，很负责的老师！赞一个！
29374,10,罗孟波,2016-06-29 15:53:17,2,3,1,老师非常认真非常负责 是我见过最最好的老师 也非常关心学生 会花很多时间在线上解答我们的问题 课也上得非常非常好 给分也非常好 总之 没有不好的
29419,10,罗孟波,2016-06-29 17:51:06,2,3,1,老师真男神！！！上过他课的都说好！
29420,10,罗孟波,2016-06-29 18:02:30,-2,4,6,绝逼男神！！！赞
29435,10,罗孟波,2016-06-29 23:08:13,0,2,2,很负责的老师，讲课也很幽默
29443,10,罗孟波,2016-06-29 23:47:58,0,2,2,老师很好 也很负责
29446,10,罗孟波,2016-06-29 23:58:44,0,2,2,超级好的老师。 很负责能学到很多
29458,10,罗孟波,2016-06-30 00:22:23,0,7,7,很负责啊，好好学就满绩了?
29459,10,罗孟波,2016-06-30 00:22:37,12,14,2,良心老师，纯粹的，朴素的人民教师
29465,10,罗孟波,2016-06-30 00:26:58,0,4,4,三次平时小测，一次期中考，老师会督促你学习的，不然平时分很难看，期末好好考就行，满绩妥妥的。
32764,10,罗孟波,2016-07-12 12:22:33,0,3,3,遇到罗老师你会爱上物理，平时严厉，但是老师会看见你的努力。老师很负责很风趣，对物理有很生活的见解，好好学习，等待满绩。
48749,10,罗孟波,2017-03-11 13:15:16,0,3,3,很好的
50755,10,罗孟波,2017-05-05 02:02:27,0,3,3,很负责的老师
51697,10,罗孟波,2017-06-30 07:56:46,1,5,4,本来说会给我们调分的，老师一分也没给我调
52032,10,罗孟波,2017-06-14 08:58:15,3,5,2,老师讲课很清晰，有重点，关心学生成长，可惜只开一年的课
52543,10,罗孟波,2017-06-21 03:12:51,0,3,3,老师是一个超级无敌好老师 可是我太菜了\n\n
52544,10,罗孟波,2017-06-21 03:15:43,0,3,3,很认真负责
53025,10,罗孟波,2017-06-25 02:20:38,0,3,3,很不错的老师
53480,10,罗孟波,2017-06-26 17:22:16,-4,8,12,平时分低到爆表
54104,10,罗孟波,2017-06-28 12:58:48,0,2,2,大一遇到最棒的老师，课讲的清楚明白有条理，非常负责任，就是第一次小测有(fei)点(chang)难，一般是3 月末就考，做好准备。稍有不同意的就是老师会把考试考的不好的大类的同学叫起来批评，不过这也是认真负责的一种表现吧！总之十分。
54790,10,罗孟波,2017-06-30 08:34:05,0,2,2,大爱罗老师！\n\n
54812,10,罗孟波,2017-06-30 09:02:18,0,1,1,老师真的很好。\n\n认真听课的部分都学会了。\n\n第一节课就告诉你每节课干什么什么时候小测。给分比较求是。真的希望学弟学妹们能认真对待大雾。加油！\n\n：）
54856,10,罗孟波,2017-06-30 10:21:53,1,4,3,认真听，认真学，满绩不是问题
54992,10,罗孟波,2017-06-30 14:45:33,3,5,2,老师真的好棒，ppt非常清晰，上课很有逻辑。可惜大物没有满，不过绩点已经不错了。期中考是大头，得期中考得天下，自己就是吃了期中考的亏，当做教训吧。
55344,10,罗孟波,2017-07-01 10:21:38,4,5,1,老师讲课很可爱，发型也很可爱
56070,10,罗孟波,2017-07-03 04:22:45,0,3,3,老师对我们非常严格，讲课非常棒，还坚持在qq群里为我们答疑，他教的班成绩都很棒 好好听就能满绩\n\n
59558,10,罗孟波,2017-09-22 18:25:32,0,4,4,老师是负责的，但讲的一般。
59582,10,罗孟波,2017-09-24 01:47:26,-10,4,14,平时分低到炸裂，像一个小学老师，唯分论，不知道这和负责什么关系
65826,10,罗孟波,2018-01-09 11:44:52,-1,2,3,老师极其负责，群里也会及时解答问题，感觉如此认真做教育的老师不多了。\n\n4.5飘过。。。
74789,10,罗孟波,2018-03-06 01:55:58,0,2,2,我爱罗 老师
75137,10,罗孟波,2018-03-07 13:11:27,40,41,1,发型，性格都体现着他是一名学物理的男人。
77790,10,罗孟波,2018-05-08 00:37:58,0,2,2,我男神，室友都说听不下去我对大物老师的赞美之词了。为了他好好学物理hhh
80286,10,罗孟波,2018-06-24 09:56:59,35,35,0,一个对物理充满了单纯的热爱的老师，也是一个还没有被岁月磨去棱角的老师。对学生很负责，浑身充满了可爱的气息。早八不爬起来去上大雾都会觉得很对不起他。
80561,10,罗孟波,2018-06-28 02:20:22,8,8,0,超级认真负责！课后问问题，不管我多智障? ，都会认真解答的
82499,10,罗孟波,2018-07-08 11:02:15,0,0,0,hin负责!小幽默哈哈总之很可爱～
82584,10,罗孟波,2018-07-08 14:49:59,-14,2,16,大学第一门满?\n\n一定要来答一下
82592,10,罗孟波,2018-07-08 15:28:48,0,0,0,罗老师超可爱超认真超仔细超负责的，口音也很可爱的！
82600,10,罗孟波,2018-07-08 16:02:44,2,2,0,只要有疑惑，一定会为你解答。
83192,10,罗孟波,2018-07-10 01:58:55,-2,3,5,平时考不好也没事，期末考好就行，老师会调
83626,10,罗孟波,2018-07-11 00:25:32,0,1,1,超级好啊，各种认真负责，就算大物不喜欢我，可仍然让我喜欢上了大物。
83942,10,罗孟波,2018-07-11 15:07:05,0,1,1,老师人超好 讲课也好\n\n就是小测毒 每列不一样 难度差异有点大
84679,10,罗孟波,2018-07-13 13:29:06,0,2,2,我的错
85472,10,罗孟波,2018-07-18 07:13:53,4,6,2,说实话老师讲课本身没有任何问题，讲得很详细很生动还会开点玩笑啥的。但小测制度还是感觉不公平。每列难度不同先不说，平时成绩大部分的差异都在小测这里，明明很认真听课做作业但小测的题确实就不会做，高中没选物理所以平时能跟上已经不容易，最后期末考前肝了4天，考的也还可以，但无奈平时分30分被扣了10多分，最终绩点也很难看。同学选的阮永红，上课讲的一般但平时分是满的。大家自己斟酌考虑吧，要是本身物理不大好的同学不建议选罗老师
85829,10,罗孟波,2018-08-19 15:33:45,2,3,1,bang bang bang
87480,10,罗孟波,2018-09-29 11:57:12,8,10,2,差0.5分就能调一档了(;´༎ຶД༎ຶ`)老罗宁死不调(;´༎ຶД༎ຶ`)是个好老师(;´༎ຶД༎ຶ`)
105879,10,罗孟波,2019-04-22 13:40:54,2,2,0,我真的爱了，我吹爆!!超级耐心超级负责的老师啊!!讲课也很幽默，让物理课永远睡觉的我毫无困意?
109394,10,罗孟波,2019-06-14 00:17:10,2,2,0,可惜自己对大物不感冒……\n\n热爱物理的同学一定要选老孟！
109395,10,罗孟波,2019-06-14 00:19:02,2,2,0,波波老师真的超级好，平易近人，幽默风趣，会和同学们进行眼神交流哈哈哈哈哈，还跟我们说不要怕物理题，很暖了
109976,10,罗孟波,2019-07-01 13:28:48,4,4,0,真的特别好！！！之前没出分就给老师评了10了，现在出分了，再刷一个10分！
110019,10,罗孟波,2019-06-21 08:38:37,2,2,0,老师真的超级负责，如果考试考不好的话，我也只能怪自己。
110329,10,罗孟波,2019-06-25 16:09:09,0,0,0,好哈哈哈
111437,10,罗孟波,2019-07-01 13:25:56,0,0,0,挺好\n\n
111439,10,罗孟波,2019-07-01 13:42:04,3,4,1,没挂，10分！！！
111444,10,罗孟波,2019-07-01 13:56:28,2,2,0,非常棒，上课风趣幽默，知识点讲的清晰。最后一节课给我们讲了重点，给了重点PPT。最后给分也非常好，太感动了。本来觉得自己选考没选物理，学大物要死了的，感谢老师！
111448,10,罗孟波,2019-07-01 14:06:40,2,2,0,老师真的特别好啊，很可爱，讲课也很细致！人巨好！！！
111452,10,罗孟波,2019-07-01 14:46:46,0,0,0,真的是个好老师
111457,10,罗孟波,2019-07-01 14:54:25,0,0,0,10分 老师真的好到没话说
111459,10,罗孟波,2019-07-01 15:11:23,0,0,0,老师爱点名，在后排玩手机或者迟到太久会说你，但是真的很负责，真的超好的一个老师！！！但是自己好菜，觉得对不起他ｍ（．＿．）ｍ
111470,10,罗孟波,2019-07-01 16:00:39,0,1,1,超严谨 课上喜欢走动点人 就是平时分略低
112076,10,罗孟波,2019-07-03 12:00:16,0,0,0,超好的老师！一定要选！
112439,10,罗孟波,2019-07-04 07:24:41,0,0,0,老师绝对是顶级好老师。答疑出分都非常负责。但你要好好上课，不要迟到太久，不要旷课，不然老师真地会怼人。\n\n我觉得老师这样做是想尽可能让大家过，不好好上课他就帮不上忙，老师这种气还挺无助的。所以选上老师课的一定好好上呀，绩点绝不会低的。
112442,10,罗孟波,2019-07-04 07:50:39,2,2,0,大学很少能碰到这样子认真督促你专心听讲的老师了。风格也很幽默，一心希望你能多学点，别看手机。
112972,10,罗孟波,2019-07-05 17:07:41,0,1,1,很认真负责的老师
114969,10,罗孟波,2019-07-13 09:10:20,1,1,0,会开与物理相关的玩笑，真的很可爱！！平时两次小测，加上作业这三项是平时分  公开透明（期末会调高一丢丢哦）。非常负责负责负责！
115057,10,罗孟波,2019-07-15 02:22:24,3,3,0,老师真的超可爱啊\n\n上课认真条理清晰，还会抓玩手机睡觉的人233\n\n是那种就算他挂了你你也只会觉得是自己没好好学的好老师。\n\n同学们，选他选他！
117129,10,罗孟波,2019-09-19 14:30:41,0,0,0,物理学不好都是我自己的问题。。\n\n上课还是蛮有趣的，不过有时候以小测作为点名方式。。。。
120644,10,罗孟波,2020-01-14 12:27:48,9,9,0,小弟认为 我能过都是lmbgg的恩赐 恨不得在他的tu头上狠狠嘬两口 孟波勇敢飞小弟永相随❤️
125123,10,罗孟波,2020-09-01 08:47:08,0,0,0,老师上课很好很好很好很好，选他选他选他。很认真很负责很用心在教学的老师，看的出来很认真在准备上课内容，PPT做的也很好很好，很喜欢老师。
125231,10,罗孟波,2020-09-04 06:34:12,0,0,0,很棒哦
125701,10,罗孟波,2020-09-13 10:29:33,0,1,1,罗老师真的好
