评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
5690,1973,钟蓉戎,2015-07-09 07:05:07,-27,13,40,备课很认真，给分蛮好
7041,1973,钟蓉戎,2015-08-31 16:06:34,10,12,2,哦
9375,1973,钟蓉戎,2015-10-25 12:17:53,63,67,4,拖堂…
9379,1973,钟蓉戎,2015-10-25 12:21:38,22,22,0,身心俱疲
11383,1973,钟蓉戎,2015-11-29 12:24:11,21,23,2,又拖堂......
11736,1973,钟蓉戎,2015-12-13 12:19:50,-11,4,15,拖堂半小时，但是上课认真
11737,1973,钟蓉戎,2015-12-13 12:26:18,16,16,0,日常向拖课
13675,1973,钟蓉戎,2015-12-30 09:55:26,27,30,3,形策老师果然都是兼职，感觉她肚子里没什么东西，上课都是读自己的讲稿，没啥意思。
16283,1973,钟蓉戎,2016-01-17 16:03:42,16,16,0,拖堂严重，没实际用
22854,1973,钟蓉戎,2016-03-13 12:48:24,14,17,3,这个老师很坑啊……趁我走了以后布置思考题。要不是队友给力今天就要gg了。
25340,1973,钟蓉戎,2016-06-30 07:35:59,6,9,3,超级差超级差超级差
26491,1973,钟蓉戎,2018-08-26 08:27:24,46,49,3,垃圾，拖堂，点名，绩点还低
26509,1973,钟蓉戎,2016-06-19 10:17:32,11,11,0,这课不行额
26603,1973,钟蓉戎,2016-06-28 08:16:21,14,16,2,真是，如果能不上她的课，真是件幸福的事，事情多，拖堂，给分还低
27437,1973,钟蓉戎,2016-06-26 08:52:55,-16,2,18,挺好的啊，老师好像默认了八点半是下课时间
27478,1973,钟蓉戎,2016-06-27 04:04:52,80,89,9,给分咋这么低啊
27573,1973,钟蓉戎,2016-06-27 04:14:50,40,41,1,绩点好低
27576,1973,钟蓉戎,2016-06-27 04:17:03,21,22,1,不知道这课的存在意义
27582,1973,钟蓉戎,2016-06-27 04:25:20,64,68,4,妈蛋给分好低。。。
27583,1973,钟蓉戎,2016-06-27 04:27:25,48,50,2,创造了我历史最低绩点(๑•́ωก̀๑)
27587,1973,钟蓉戎,2017-01-08 15:32:34,38,39,1,给分zjb低
27593,1973,钟蓉戎,2016-06-27 05:35:05,58,75,17,没缺过课 每次课堂任务认真写 期末考试认真复习整理笔记 考试除了最后一道材料分析题 几乎都有把握 然而最后成绩3.6 呵呵哒
27597,1973,钟蓉戎,2016-06-27 06:10:07,42,48,6,认识上她课连我自己绩点分别是 1.8 2.4 2.7 3.0 3.3 同问有3.9及以上的吗
27598,1973,钟蓉戎,2016-06-27 04:43:15,26,30,4,花式点名，心好累，每次都有好好写课堂作业，也有复习，考试一般，最终3.0。我放在这里的师生情呢！
27604,1973,钟蓉戎,2016-06-27 04:48:17,31,32,1,点到都到 考前认真背了一天 答题没什么问题 2.7我也是rlgl
27605,1973,钟蓉戎,2016-06-27 04:48:42,20,22,2,心累的不行
27610,1973,钟蓉戎,2016-06-27 04:52:50,10,11,1,噫…不可描述
27621,1973,钟蓉戎,2016-06-27 05:22:17,19,20,1,辛辛苦苦背了那么久  每次的题也都认真写的  最后给了这么点分 rlgl
27626,1973,钟蓉戎,2016-06-27 05:36:29,21,23,2,每堂课都要写好多东西 mlgj最后给分奇低 就问有人上4了吗科科科
27657,1973,钟蓉戎,2016-06-27 07:13:08,27,28,1,绩点2.1，不说了都是泪
27662,1973,钟蓉戎,2016-06-27 07:34:48,16,17,1,给分极低
27663,1973,钟蓉戎,2016-06-27 07:35:33,29,31,2,傻逼老师 毁我青春\n\n要是水水的给分这么低就算了 每堂都有作业题妈的还给分这么低\n\n想打零分竟然没选项\n\n
27674,1973,钟蓉戎,2016-06-29 02:18:27,-46,4,50,4.5的路过。静静看你们。
27676,1973,钟蓉戎,2016-06-27 15:27:47,-14,8,22,貌似改成闭卷考试以后绩点直线下降啊
27679,1973,钟蓉戎,2016-06-27 08:07:36,25,27,2,求别说什么态度不态度了，考试之前真的很认真复习了，负责地说知识点基本都答到了，考试写了整整两个小时手都快废了，平常每次课也去了作业也交了，最后3.6，真的不好说什么了
27680,1973,钟蓉戎,2016-06-27 08:08:30,-6,2,8,强 无敌
27685,1973,钟蓉戎,2016-06-27 08:25:30,15,16,1,妈的怎么给分的？\n\n
27688,1973,钟蓉戎,2016-06-27 16:30:04,16,17,1,日了狗了，绩点日了狗了，毁我青春
27689,1973,钟蓉戎,2016-06-27 08:28:41,26,29,3,给分差，平时分特别低，经常一言不合打0分，考前复习了一周，听说读写都用上了，3.6，没话说。
27690,1973,钟蓉戎,2016-06-28 16:59:49,-49,6,55,认真复习认真答卷绩点不会低的 绩点高低真的是看个人和老师无关的
27691,1973,钟蓉戎,2016-06-27 08:30:44,24,27,3,从不缺课 考试尽心尽力\n\n给分低到泪流
27697,1973,钟蓉戎,2016-06-27 08:38:21,17,18,1,没啥真思想，给分极低
27709,1973,钟蓉戎,2016-06-27 08:55:29,14,15,1,上课点名，给分超级低
27711,1973,钟蓉戎,2016-06-27 09:00:04,5,7,2,妈的好滴。。。
27712,1973,钟蓉戎,2016-06-27 09:01:58,8,9,1,给分太低
27723,1973,钟蓉戎,2016-06-27 09:37:41,9,10,1,分低，拖堂
27726,1973,钟蓉戎,2016-06-27 09:46:34,6,7,1,拖堂…瞌睡…点名…闭卷期末考试…我tm真是服了
27732,1973,钟蓉戎,2016-06-27 10:03:26,-18,1,19,好诶！！！
27743,1973,钟蓉戎,2016-06-27 10:33:40,18,19,1,这分是认真给的我直播吃?
27748,1973,钟蓉戎,2016-07-02 12:26:36,-55,7,62,满?了，事实上这个应该还是看考试
27757,1973,钟蓉戎,2016-06-27 11:30:47,10,11,1,上课无聊，给分随意，用课堂作业点名
27758,1973,钟蓉戎,2016-06-27 11:32:15,8,9,1,绩点新低
27763,1973,钟蓉戎,2016-06-27 12:15:30,8,8,0,我真是醉了
27772,1973,钟蓉戎,2016-06-27 15:44:52,-34,2,36,上课拖堂要写东西，不过最后期末看了四个小时书，竟然有4.5，上课开小差绝对没问题，不过思考题一定要背。
27778,1973,钟蓉戎,2016-06-27 13:26:15,-39,0,39,上课从来没听过 只要每次签到和背思考题就能4.5
27783,1973,钟蓉戎,2016-06-27 13:57:21,12,13,1,给分极差，请问有3.9以上的吗？
27814,1973,钟蓉戎,2016-06-27 16:26:00,9,10,1,?点又被拖累了
27815,1973,钟蓉戎,2016-06-27 16:30:07,9,12,3,垃圾课程，毁我青春，耗我时间。她的评分就是她给的绩点
27816,1973,钟蓉戎,2016-06-27 16:32:22,7,8,1,给分低
27823,1973,钟蓉戎,2016-06-27 17:02:44,22,24,2,绩点没下过4的我，行策2.1，呵呵
27827,1973,钟蓉戎,2016-06-27 17:59:06,-28,1,29,上课就是念ppt，极其无聊，每节课完有课堂测试当点名。给分感觉还好，上课测试都写自己的想法，期末把思考题背过，给了4.5
27927,1973,钟蓉戎,2016-06-28 05:40:46,4,6,2,垃圾老师，怎么没有零分可以选，给分烂的一笔，讲课不知所云
28225,1973,钟蓉戎,2016-06-28 08:17:51,-8,9,17,搞得我都不敢评了……钟书记人还是很好的，还有话说这次卷子是程导批的说。但是这次闭卷给分低是事实，拖课也是事实。不过思政课也不能要什么奢求是吧，大家来这都是发泄的。
28289,1973,钟蓉戎,2016-06-28 08:26:51,3,4,1,好无聊
28308,1973,钟蓉戎,2016-06-28 08:29:46,-4,3,7,只能给我的绩点了
28326,1973,钟蓉戎,2016-06-28 08:33:34,5,6,1,给分低到rlgl
28348,1973,钟蓉戎,2016-06-28 08:37:51,3,6,3,拖堂/给分差/讲课没意思/每堂课点名，为什么没有负分的选项啊
28408,1973,钟蓉戎,2017-01-03 06:18:00,5,6,1,拖堂绩点低点名
28409,1973,钟蓉戎,2016-06-28 08:52:26,4,5,1,要点名，给分还差
28412,1973,钟蓉戎,2016-06-28 08:53:38,8,9,1,工科生表示不服(ง •̀_•́)ง
28417,1973,钟蓉戎,2016-06-28 08:56:05,8,8,0,无聊?只会念PPT?给分极差?
28419,1973,钟蓉戎,2016-06-28 08:55:25,8,10,2,先不谈给分低不低，就谈讲课，每次都拖堂，跟高中老师似的，自己还觉得是为我们好，奉献多大似的。给分确实坑
28471,1973,钟蓉戎,2016-06-28 09:12:21,9,10,1,课讲的很红很赚很无聊每次上课之后还要让你当堂交一份思考题当点名期末考试结束之后给分低到爆炸望学弟们珍重
28568,1973,钟蓉戎,2016-06-28 10:25:59,-12,1,13,平时水，用思考题点名比较坑，期末就把之前的思考题背一背，不大会挂，行策课大家都懂的。
28587,1973,钟蓉戎,2016-06-28 10:39:23,4,6,2,讲的很无趣，打分极低，极低，能不选就不选
28655,1973,钟蓉戎,2016-06-28 11:42:37,2,4,2,hhh
28665,1973,钟蓉戎,2016-06-28 11:55:34,4,6,2,绩点极低
28958,1973,钟蓉戎,2016-06-29 04:23:42,6,7,1,每节课都有变相点名分还给这么低 讲得又不好
29080,1973,钟蓉戎,2016-06-29 08:13:41,6,7,1,给分低。创历史。还好只有一分
29259,1973,钟蓉戎,2016-06-29 13:49:16,6,6,0,拖堂 每节课最后以作业形式点名 给分创造历史最低绩点
29329,1973,钟蓉戎,2016-06-29 15:15:10,5,5,0,毁青春
29386,1973,钟蓉戎,2018-07-09 11:13:07,9,9,0,给分辣鸡
29432,1973,钟蓉戎,2016-06-29 22:58:49,6,6,0,唉，说多了都是泪，明明很认真的好吗T^T
29561,1973,钟蓉戎,2016-06-30 03:27:54,-5,4,9,大家对钟老师给分有问题的都应该去申请查分啊，难说是录入错误?跟张老师一样，联系方式教务网上有???
29854,1973,钟蓉戎,2016-06-30 12:01:36,4,5,1,这么低大王分我是不服的
30101,1973,钟蓉戎,2016-07-01 02:30:08,7,7,0,给分实在太差了
31635,1973,钟蓉戎,2016-07-04 09:59:42,7,7,0,最难过的就是付出和收获不成正比的课
32152,1973,钟蓉戎,2016-07-05 23:46:47,5,5,0,给分最低了
51758,1973,钟蓉戎,2017-06-26 07:27:26,10,10,0,垃圾老师 傻逼一个\n\n
53115,1973,钟蓉戎,2017-06-26 02:29:23,11,15,4,我不想对老师进行人身攻击，但是说句公道话。每次上课都到，每节课都记笔记，学生手册考试满分，每次作业都认真交，期末考试也大体上有把握，最后给我3.6分。我不知道老师给分的标准到底是什么，但我必须声明，我有理由质疑老师为了实现正态而故意调低分数，这对学生是极大的不公平。
53139,1973,钟蓉戎,2017-06-26 04:23:49,5,8,3,垃圾，每次上课都去了，期末考试大题都背到了，最后3.0，有病吧
53143,1973,钟蓉戎,2017-06-26 04:48:07,7,9,2,形策? 还上去展示了\n\n期末大题基本上都背出来了\n\n呵呵呵 ggggggg
53160,1973,钟蓉戎,2018-06-26 09:33:15,9,10,1,下课前留课堂作业写完上交，期末给分低。。
53167,1973,钟蓉戎,2017-06-26 06:12:23,-7,1,8,老师感觉，没点过名。。。。
53188,1973,钟蓉戎,2017-06-26 07:10:10,5,7,2,心累 复习了一天大题全会 平时东西特别认真写 结果没上4
53212,1973,钟蓉戎,2017-06-26 07:49:25,5,5,0,给分也太低了吧\n\n
53339,1973,钟蓉戎,2017-06-26 11:57:49,-6,0,6,还行吧
53479,1973,钟蓉戎,2017-07-02 11:35:48,3,4,1,给分真的有点低...
54335,1973,钟蓉戎,2017-06-29 06:03:56,4,4,0,没上3 极度怀疑查老师上的军机是假的:)
54382,1973,钟蓉戎,2017-06-29 08:29:44,7,7,0,1。8绩点\n\n后悔当初没查\n\n
54699,1973,钟蓉戎,2017-06-30 05:03:44,1,3,2,上课很水，但主要是这种课本身不够吸引人，内容枯燥老师也没办法。老师挺和蔼的，助教有点龟毛，交的作业随笔助教真的会很认真地看的。给分我觉得还好，但是确实有点迷，不知道标准是什么。
56233,1973,钟蓉戎,2017-07-03 09:52:58,5,5,0,1分不能再多了\n\n
58971,1973,钟蓉戎,2017-09-19 02:43:23,3,4,1,为什么没有0分?
62192,1973,钟蓉戎,2017-11-23 05:26:08,2,2,0,助教差评
74423,1973,钟蓉戎,2018-02-21 06:34:50,4,8,4,均绩4.4，行策2.1
75396,1973,钟蓉戎,2018-03-10 10:59:45,0,1,1,???
82781,1973,钟蓉戎,2018-07-09 06:18:27,-5,3,8,没大家说的这么差啊，形策这种课本来就这样。而且事实证明考试前背个半天还是很有效的，给分这东西还是得看脸啊。
82851,1973,钟蓉戎,2018-07-09 08:22:41,6,6,0,认真背了也考到了，考不好是因为我作文写的不好咯？
85946,1973,钟蓉戎,2018-08-25 15:00:57,2,3,1,想睡觉
91500,1973,钟蓉戎,2018-12-25 02:12:37,-19,4,23,97满绩飘过~自己不认真在这边喷老师我也是服
102770,1973,钟蓉戎,2019-02-22 16:31:55,2,3,1,差无敌了
111789,1973,钟蓉戎,2019-07-02 23:07:47,-3,3,6,还可以 并非绩杀
125932,1973,钟蓉戎,2020-09-16 01:20:49,-11,1,12,4.8 讲道理考试之前我看看查老师的评分还蛮慌的，预感这门要成为第一门挂科的学课了，认真背了背，结果分数出来还可以。在浙大混了一年，感觉查老师这个平台愈发不可信了，许多评分很低的老师，真正去上他的课，也没觉得有什么不好。我希望不要有同学滥用打分的权力，甚至好像用这个打分系统来和老师制衡似的。（当然是不是今年给分都还好，我不清楚）我觉得7分吧，说拖堂的，我每次形策下课都是我们寝室第一个到的（大概形策都拖堂）
127870,1973,钟蓉戎,2020-11-29 12:13:36,2,2,0,辣鸡老师 必定拖堂 两节课拖成三节课 能换就换 千万不要选她的课
134602,1973,钟蓉戎,2021-04-04 20:42:17,0,0,0,不负责的老师
134928,1973,钟蓉戎,2021-04-23 01:09:09,1,1,0,上课时明明气氛挺好，小组讨论啥的也有参加，作业也有做，期末考试也看不出有啥问题，结果给分贼低
138233,1973,钟蓉戎,2021-07-08 05:36:32,2,2,0,快逃！
138266,1973,钟蓉戎,2021-07-08 08:34:30,4,4,0,不太明白给分，讲课的话，形策应该大同小异，没有什么特别突出或者不行的地方，但是给分个人感觉挺低的，观影课展示，只在乎有没有拍视频，不在乎视频质量，我们组虽然没有视频，但是PPT质量，还有我们演讲稿以及展示同学的演讲技巧和效果我感觉都是班上数一数二的，至少比那些还有B站抖音水印的搬运视频强，但是互评以及老师助教打完分，我们小组展示基本垫底，我印象中只有一两个组分数比我们低，感觉很不服气
138490,1973,钟蓉戎,2021-07-09 13:45:39,2,4,2,事多，快逃
140767,1973,钟蓉戎,2021-09-16 02:22:58,3,3,0,给分极低 课程作业多且繁琐
156524,1973,钟蓉戎,2022-06-20 07:22:34,-1,2,3,感觉老师还挺不错的，事情也不像前面评论说得多，大部分都是不用上交的思考题，最后给分也还不错？
156665,1973,钟蓉戎,2022-06-20 14:22:30,-5,0,5,给分还行吧！不是那么差
