评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
9376,14,彭列平,2015-10-25 12:20:09,0,6,6,怎么会有这种老师  思想偏见严重
11575,14,彭列平,2015-12-06 10:38:56,6,9,3,每次点名
14847,14,彭列平,2016-01-10 04:55:17,6,11,5,喜欢 很亲切
14848,14,彭列平,2016-01-10 04:53:28,25,29,4,好亲切
14849,14,彭列平,2016-01-10 04:53:35,9,12,3,亲和温柔
21531,14,彭列平,2016-02-29 06:20:31,0,4,4,不错的
22850,14,彭列平,2016-03-13 11:59:12,2,3,1,比较闲
25995,14,彭列平,2016-06-15 03:21:04,1,3,2,呵呵哒
26493,14,彭列平,2016-06-19 07:01:23,-1,2,3,不错的
27363,14,彭列平,2016-06-25 07:50:40,-4,1,5,老师很亲切和善，助教哥哥人也很好，给分不错，考试时很多不会，凭自己理解写的还是拿到了满意的分数，感恩
27364,14,彭列平,2016-06-25 07:55:42,6,7,1,点名靠签字还是很水的
27408,14,彭列平,2016-06-26 01:48:35,-12,6,18,虽然说是点名 但最后几次课会把签到表传下来  就可以补签   没有作业没有论文    事少课好      给分还好    wuli理科生形策?点拯救者    水了一学期最后4.5   太感谢
27463,14,彭列平,2016-06-26 10:48:26,-12,8,20,给分特别好，我可以肯定地说我一节课都没听讲（不过我都去上课了），最后考试背题目背ppt而且还没背全，考试的时候到最后根本BB不出来，最后居然绩点辣么高。谜一样。
27724,14,彭列平,2016-06-27 09:41:09,0,1,1,挺好的老师
27856,14,彭列平,2016-06-28 00:00:15,7,8,1,并不觉得给分好。。蛮水的 签签到就行
27938,14,彭列平,2016-06-28 06:39:38,1,2,1,虽然我绩点低，但是老师超好
28061,14,彭列平,2016-06-28 08:03:15,0,1,1,人很好诶 很耐心
28116,14,彭列平,2016-06-28 08:07:34,-3,2,5,挺水的，助教拿单子签名。貌似给分还可以？
28741,14,彭列平,2016-06-28 13:42:48,0,2,2,和不去一样，水，绩点低
29491,14,彭列平,2016-06-30 01:31:52,0,0,0,人好事情少
29631,14,彭列平,2016-06-30 05:40:09,0,2,2,谜一样的给分
30855,14,彭列平,2016-07-02 16:27:45,1,1,0,事少点名
52323,14,彭列平,2017-06-18 09:51:21,22,27,5,马上就考形策了，据说给我们超棒的彭老师打满分就能收获好成绩！(´ε｀ )♡
53579,14,彭列平,2017-06-27 05:13:32,1,2,1,……给分怕不是超随意，并不懂这个体系
54762,14,彭列平,2017-06-30 07:23:21,0,1,1,感觉给分不太好……
80788,14,彭列平,2018-07-01 05:54:25,6,7,1,事情少\n\n考前打个10分保平安
80813,14,彭列平,2018-07-01 09:45:50,-2,0,2,考试之前先给彭老师一个九分好评，希望能考一个好看的分数。事少，讲得好，很亲切，很水，还有一分是因为...实在是太水了，哈哈哈哈
82230,14,彭列平,2019-11-17 06:50:19,4,6,2,行策一 水课 基本不听 平时签到 学生手册考试都满 考前突击了一下 感觉给分不太好
82233,14,彭列平,2018-07-07 13:59:35,2,2,0,拉我绩点 无语了简直
82236,14,彭列平,2018-07-07 14:06:32,1,1,0,怎一个惨字了得\n\n
82254,14,彭列平,2018-07-07 14:58:42,-6,2,8,给分挺好的，背了两天的PPT和思考题，4.5~
82285,14,彭列平,2018-07-07 16:26:39,-1,0,1,比起其他行测老师还每堂课点人回答以及小测这些有的没的，简直好太多了
82286,14,彭列平,2018-07-08 00:59:22,-6,1,7,卡在4.2。和另一个钟为民老师的同学一起准备的很充分，结果钟为民老师的那位同学满了，然而emmmm，这位老师这里，平时分和学生手册都满了，只能说老师给分真的不怎么好
82894,14,彭列平,2018-07-09 09:22:24,-4,1,5,其实我觉得还行....平时签到可以找别人代替.....也没有其他事了....行策考试还是要靠自己吧......考前背了一天.....最后4.2
83473,14,彭列平,2018-07-10 10:55:15,0,0,0,是个好老师，形策课么本来就是水水的
83753,14,彭列平,2018-07-11 07:01:04,7,8,1,为了满足正太要求所有人总评减四分了解一下。
102624,14,彭列平,2019-02-14 08:11:30,1,2,1,谁知道这个寒假留没留作业，有点害怕?
111154,14,彭列平,2019-06-30 05:54:19,1,1,0,10求过
111758,14,彭列平,2019-07-02 18:59:18,0,0,0,不说别的，形策这种课给分不好就直接pass吧
111778,14,彭列平,2019-07-02 22:42:32,0,0,0,上过的所有课中给分最迷的一门
111791,14,彭列平,2019-07-02 23:16:25,0,1,1,该死的正态
111847,14,彭列平,2019-07-03 01:06:15,6,6,0,人好事少大绩杀
111928,14,彭列平,2019-07-03 03:11:46,-4,4,8,人好事少，最后的考试复习了两小时就4.5了，讲道理好好背+字写得好看应该就不会差了。并且一学分的课大家真的不要太在意绩点，这个老师真的事情很少很少，要用题目点名的时候还会和大家说“这次不要先走哦，我一会儿有个课堂题目点名”，反正就算3.5我也喜欢这个老师。
125884,14,彭列平,2020-09-15 09:41:05,0,1,1,绩杀不多说
125977,14,彭列平,2020-09-16 07:03:38,0,0,0,谢谢老师，形策1至少大家成绩都差不多
137161,14,彭列平,2021-07-01 14:57:45,0,0,0,出分前求保佑
137577,14,彭列平,2021-07-05 07:08:09,0,0,0,出分求保佑
137829,14,彭列平,2021-07-06 08:54:44,0,1,1,上课水 次次发签到表 给分random
